Date,Username,Tweet Content,label
2022-12-11 16:37:38+00:00,buddumz,@data168 I think it will take tesla another full year before we see massive gamma squeezes out of it. I think come 2024 Tesla will move heavy again to the up side. This is just a personal opinion of mine. Nothing to back this claim up.,0
2022-12-11 15:42:47+00:00,JustinArnett22,@artofrune @Icaryx69 @gabbie_tesla @elonmusk But they aren't a publisher so why would they be treated as a publisher. Because that's more convenient to you? Just make up rules that benefit your agenda. If people think Twitter is not fair they simply need to move along and find another place to voice their opinion.,2
2022-12-11 14:48:37+00:00,tsr0009,"@elonmusk starting to think you should resign from Tesla. I agree with many of your opinions, but you’re now a liability to the mission of sustainability. You are unable to moderate yourself and losing effectiveness. Focus on the bigger picture.",1
2022-12-11 14:42:45+00:00,fricker_eric,"@averygrrl Not that it matters but my opinion of him has gone down so much, I think it started with doge coin

And I own a 2008 Tesla roadster, I had been a fan for a long time

Disappointed",2
2022-12-11 14:22:49+00:00,jgmiddlet,"@MattWallace888 I had a much higher opinion of him and his companies before he took over Twitter and made it his mission to bring back disinformation and all of the right wing tropes of the past couple of years. I think SpaceX is still top notch, but Tesla has lost some of its luster.",2
2022-12-11 04:45:02+00:00,Charles99038922,"@farzyness that is the one thing I don't agree with. While I like the Tesla vehicles, it is my opinion that the truck is FUGLY! Sorry @elonmusk still think your the G.O.A.T. though",2
2022-12-10 22:47:53+00:00,tearsintherain1,"@PryZmRuleZZ @SpadersNFTs @DogeAccept @JoleneBlahahaha @Jacob75719238 @SpaceCrystalZ @StarshipDock @LWolfcub77 @TheNewAnneFrank @h_artsNcrafts @Lionelclone1 @ReplyGPT @KidCancerTrophy @AndreMillaire @fadequeen77 @xdianalandx @draganammilic1 @CCuntamed @S3XYDOG3VAD3R @dittimaheshwari @JessieR64351512 @TeslaDarth @PiaPanda96 @Lucktriple07 @musicphantom69 @YeshuaisSavior @gucci369r @Manoj87187471 @Kawaiistanley1 @dogecoin @elonmusk @MichelleBezak @kennethray25 @dogedubowwow @Twitter @boringcompany @Tesla @neuralink @SpaceX @MyDogeTip “Soul mates” have the missing parts of you and vice versa, so I think personally there has to be disagreement sometimes, it’s how you learn from each other and resolve differences of opinion, constant aggressive conflict isn’t a healthy relationship imo.",0
2022-12-10 19:11:04+00:00,NFT_GOD,"@RealJonahBlake Where my opinion comes from is I think if a project was truly valuable it would be able to sell itself on it’s utility. 

Tesla didn’t need to giveaway air fresheners then ask to tag 3 friends in order to sell cars",1
2022-12-10 15:33:41+00:00,LudaLisl,"@BalazsSimonBalu That's not why I'm leaving.

Why do people think that different opinions and Elon ""talking"" to someone is a problem?

Elon is trusting someone with the Twitter Files who spreads misinformation on renewables and EVs. That's the complete opposite of Tesla's mission statement.",1
2022-12-10 13:58:13+00:00,sarimshady,"@MrNoir1998 You think you know more about economics than a guy who created PayPal, Tesla, SpaceX, Twitter 2.0?

I will trust his opinion over a pleb commie billionaire hater",0
2022-12-10 11:36:01+00:00,Paul58032,"@VampishBeef @glideoutside @WholeMarsBlog @Tesla I don’t think the prototypes have a single piece casting as the 9000 ton Gigapress hasn’t been assembled yet.  (I know trial assembly at Idra, but they can’t cast at their factory).  May be smaller castings and some welded stamped pieces. @teardowntitan might have an opinion 🤷‍♂️",1
2022-12-10 10:07:22+00:00,Defnotaspoof,"@UrsichJr @brandenflasch Personal opinion, assuming that car is pretty clean as sold by Tesla, $25k is a great price. 

Don’t think we’ll see many more of those given how quickly the cheapies are selling.  Their pricing algo will learn they’re leaving money on the table.",0
2022-12-10 05:03:20+00:00,hong9229kim,"@Tesla thank you
long term
i do not understand people
why they have negative opinion on Elon

he cannot help to say
water is water  and
 mountain is mountain

what you see is what you see
do not create what you think is what you see.

water is water and 
mountain is mountain.",0
2022-12-09 22:31:00+00:00,sspencer_smb,@Gfilche @elonmusk Elon has stated dozens of times Tesla will compound this decade at 50%. Trading at 20X 2023 cash flow is cheap. I think being long from below $10 has distorted your viewpoint...just my opinion! 😉,0
